"id","task","answer","topics_id","text_of_solution"
5757,"Упростите выражение: \(\frac{2-a}{a^{2}-ab}-\frac{2-b}{ab-b^{2}}\)","\(-\frac{2}{ab}\)",85,"\(\frac{2-a}{a^{2}-ab}-\frac{2-b}{ab-b^{2}}=\frac{2-a}{a(a-b)}-\frac{2-b}{b(a-b)}=\frac{b(2-a)-a(2-b)}{ab(a-b)}=\frac{2b-ab-2a+ab}{ab(a-b)}=\frac{-2(a-b)}{ab(a-b)}=-\frac{2}{ab}\)"
5770,"Упростите выражение: \(\frac{x-12a}{x^{2}-16a^{2}}-\frac{4a}{4ax-x^{2}}\)","\(\frac{(x-4a)^{2}}{\frac{x-4a}{x(x+4a)}\)",85,"\(\frac{x-12a}{x^{2}-16a^{2}}-\frac{4a}{4ax-x^{2}}=\frac{x-12a}{(x-4a)(x+4a)}+\frac{4a}{x(x-4a)}=\frac{x(x-12a)+4a(x+4a)}{x(x-4a)(x+4a)}=\frac{x^{2}-12xa+4xa+16a^{2}}{x(x-4a)(x+4a)}=\frac{x^{2}-8xa+16a^{2}}{x(x-4a)(x+4a)}=\frac{(x-4a)^{2}}{\frac{x-4a}{x(x+4a)}\)"
5773,"Упростите выражение: \(\frac{y}{(x-y)^{2}}-\frac{x+y}{y^{2}-xy}\)","\(\frac{x^{2}}{y(x-y)^{2}}\)",85,"\(\frac{y}{(x-y)^{2}}-\frac{x+y}{y^{2}-xy}=\frac{y}{(x-y)^{2}}-\frac{x+y}{y(y-x)}=\frac{y}{(x-y)^{2}}+\frac{x+y}{y(x-y)}=\frac{y^{2}+(x+y)(x-y)}{y(x-y)^{2}}=\frac{y^{2}+x^{2}-y^{2}}{y(x-y)^{2}}=\frac{x^{2}}{y(x-y)^{2}}\)"
5785,"Упростите выражение: \(\frac{m^{2}-2mn+4n^{2}}{m-2n}+\frac{m^{2}+2mn+4n^{2}}{m+2n}\)","\(\frac{2m^{3}}{m^{2}-4n^{2}}\)",85,"\(\frac{m^{2}-2mn+4n^{2}}{m-2n}+\frac{m^{2}+2mn+4n^{2}}{m+2n}=\frac{(m+2n)(m^{2}+2mn+4n^{2})+(m-2n)(m^{2}+2mn+4n^{2})}{(m-2n)(m+2n)}=\frac{m^{3}+4n^{3}+m^{3}-4n^{3}}{m^{2}-5n^{2}}=\frac{2m^{3}}{m^{2}-4n^{2}}\)"
5792,"Упростите выражение: \(\frac{a-2}{a^{2}+2a+4}-\frac{6a}{a^{3}-8}+\frac{1}{a-2}\)","\(\frac{a(a-2)}{a^{2}+2a+4}\)",85,"\(\frac{a-2}{a^{2}+2a+4}-\frac{6a}{a^{3}-8}+\frac{1}{a-2}=\frac{(a-2)(a-2)-6a+a^{2}+2a+4}{a^{3}-8}=\frac{(a-2)^{2}+a^{2}-4a+4}{a^{3}-8}=\frac{a^{2}-4a+4+a^{2}-4a+4}{a^{3}-8}=\frac{2a^{2}-8a+8}{a^{3}-8}=\frac{2(a^{2}-4a+4)}{a^{3}-8}=\frac{a(a-2)^{2}}{(a-2)(a^{2}+2a+4)}=\frac{a(a-2)}{a^{2}+2a+4}\)"
5793,"Упростите выражение: \(\frac{2mn}{m^{3}+n^{3}}+\frac{2m}{m^{2}-n^{2}}-\frac{1}{m-n}\)","\(\frac{m^{2}+mn+n^{2}}{m^{3}+n^{3}}\)",85,"\(\frac{2mn}{m^{3}+n^{3}}+\frac{2m}{m^{2}-n^{2}}-\frac{1}{m-n}=\frac{2mn}{(m+n)(m^{2}-mn+n^{2})}+\frac{2m}{(m-n)(m+n)}-\frac{1}{m-n}=\frac{2mn(m-n)+2m(m^{2}-mn+n^{2})}{(m-n)(m+n)(m^{2}-mn+n^{2})}+\frac{(m^{2}-mn+n^{2})(m+n)}{(m-n)(m+n)(m^{2}-mn+n^{2})}=\frac{2m^{2}n-2mn^{2}+2m^{3}-2m^{2}n+2mn^{2}}{(m-n)(m^{3}+n^{3}}-\frac{(m^{3}+n^{3})}{(m-n)(m^{3}+n^{3})}=\frac{2m^{3}-m^{3}-n^{3}}{(m-n)(m^{3}+n^{3})}=\frac{m^{3}-n^{3}}{(m-n)(m^{3}+n^{3}}=\frac{(m-n)(m^{2}+mn+n^{2})}{(m-n)(M^{3}+n^{3})}=\frac{m^{2}+mn+n^{2}}{m^{3}+n^{3}}\)"
5795,"Упростите выражение: \(\frac{1}{(b-5)^{2}}-\frac{2}{b^{2}-25}+\frac{1}{(b+5)^{2}}\)","\(\frac{100}{(b^{2}-25)^{2}}\)",85,"\(\frac{1}{(b-5)^{2}}-\frac{2}{b^{2}-25}+\frac{1}{(b+5)^{2}}=\frac{1}{(b-5)^{2}}-\frac{2}{(b-5)(b+5)}+\frac{1}{(b+5)^{2}}=\frac{(b+5)^{2}}{(b-5)^{2}(b+5)}-\frac{2(b-5)(b+5)}{(b-5)^{2}(b+5)^{2}}+\frac{(b-5)^{2}}{(b-5)^{2}(b+5)^{2}}=\frac{b^{2}+10b+25-2(b^{2}-25)+b^{2}-10b+25}{(b-5)^{2}(b+5)^{2}}=\frac{b^{2}+10b+25-2b^{2}+50+b^{2}-10b+25}{(b-5)^{2}(b+5)^{2}}=\frac{100}{(b-5)^{2}(b+5)^{2}}=\frac{100}{(b^{2}-25)^{2}}\)"
5806,"Найдите значение выражения: \(\frac{(x+1)^{3}}{x}-\frac{(x+1)^{2}}{x+2}-\frac{1}{x}+\frac{1}{x+2} при x=-2,1\)","\(3,21\)",85,"\(\frac{(x+1)^{3}}{x}-\frac{(x+1)^{2}}{x+2}-\frac{1}{x}+\frac{1}{x+2}=\frac{(x+1)^{3}}{x}-\frac{1}{x}-\frac{(x+1)^{2}}{x+2}+\frac{1}{x+2}=\frac{(x+1)^{3}-1}{x}=-(\frac{(x+1)^{2}-1}{x+2})=\frac{x^{3}+3x^{2}+3x+1-1}{x}-\frac{x^{2}=2x+1-1}{x+2}=\frac{x(x^{2}+3x+3)}{x}-\frac{x^{2}+2x}{x+2}=x^{2}+3x+3-\frac{x(x+2)}{x+2}=x^{2}+3x+3-x=x^{2}+2x+3=(x^{2}+2x+1)+2=(x+1)^{2}+2; x=-2,1; (-2,1+1)^{2}+2=(-1,1)^{2}+2=1,21+2=3,21\)"
5829,"Упростите выражение: \(6mx \cdot \frac{ab}{2mx^{2}}\)","\(\frac{3ab}{x}\)",86,"\(6mx \cdot \frac{ab}{2mx^{2}}=frac{6mx-ab}{2mx^{2}}=\frac{3ab}{x}\)"
5833,"Упростите выражение: \(\frac{x-y}{4a} \cdot \frac{4}{x-y}\)","\(\frac{1}{a}\)",86," \(\frac{x-y}{4a} \cdot \frac{4}{x-y}=frac{(x-y) \cdot 4}{4a \cdot (x-y)}=\frac{1}{a}\)"
5836,"Упростите выражение: \(\frac{15p+12q}{13p}:\frac{15p+12q}{13}\)","\(\frac{1}{p}\)",86,"\(\frac{15p+12q}{13p}:\frac{15p+12q}{13}=frac{15p+12q}{13p} \cdot \frac{13}{15p+12q}=\frac{(15p+12q) \cdot 13}{13p \cdot (15p+12q)}=\frac{1}{p}\)"
5853,"Упростите выражение: \(\frac{4p-p^{2}}{y-x}:\frac{8p-2p^{2}}{x-y}\)","\(-\frac{1}{2}\)",86,"\(\frac{4p-p^{2}}{y-x}:\frac{8p-2p^{2}}{x-y}=frac{p(4-p)}{y-x} \cdot \frac{x-y}{2p(4-p)}=\frac{p(4-p) \cdot (y-x)}{(y-x) \cdot 2p(4-p)}=-\frac{p}{2p}=-\frac{1}{2}\)"
5854,"Упростите выражение: \(\frac{a-b}{2q-q^{2}} \cdot \frac{6q-2q^{2}}{b-a}\)","\(-2\)",86,"\(\frac{a-b}{2q-q^{2}} \cdot \frac{6q-2q^{2}}{b-a}=-frac{(a-b) \cdot 1q(3-a)}{q(3-q)(a-b)}=-2\)"
5866,"Упростите выражение: \((8a^{3}+1):\frac{4a^{2}-2a+1}{n}\)","\(n(2a+1)\)",86,"\((8a^{3}+1):\frac{4a^{2}-2a+1}{n}=(8a^{3}+1) \cdot frac{n}{4a^{2}-2a+1}=\frac{n \cdot (8a^{3}+1)}{4a^{2}-2a+1}=\frac{n(2a+1)(4a^{2}-2a+1)}{4a^{2}-2a+1}=n(2a+1)\)"
5878,"Выполните возведение алгебраической дроби в степень: \((-\frac{8z}{15t})^{2}\)","\(\frac{64z^{2}}{225t^{2}}\)",86,"\((-\frac{8z}{15t})^{2}=frac{(8z)^{2}}{(15t)^{2}}=\frac{64z^{2}}{225t^{2}}\)"
5900,"Упростите выражение: \(\frac{45m^{4}}{49n^{2}t} \cdot \frac{56n^{3}}{27m^{2}}:\frac{20m^{2}n}{63t^{2}}\)","\(6t\)",86,"\(\frac{45m^{4}}{49n^{2}t} \cdot \frac{56n^{3}}{27m^{2}}:\frac{20m^{2}n}{63t^{2}}=\frac{45m^{4} \cdot 56n^{3} \cdot 63t^{2}}{49n^{2}t \cdot 27m^{2} \cdot 20m^{2}n}=\frac{5 \cdot 9 \cdot 28 \cdot t}{3 \cdot 7 \cdot 10}=\frac{3 \cdot 4t}{2}=3 \cdot 2t=6t\)"
5918,"Упростите выражение: \(\frac{x^{2}-6x+9}{9x^{3}}:\frac{x^{2}-9}{9x}\)","\(\frac{x-3}{x^{2}(x+3)}\)",86,"\(\frac{x^{2}-6x+9}{9x^{3}}:\frac{x^{2}-9}{9x}=\frac{(x-3)^{2} \cdot 9x}{9x^{3} \cdot (x-3)(x+3)}=\frac{x-3}{x^{2}(x+3)}\)"
5919,"Упростите выражение: \(\frac{3x^{2}-3y^{2}}{xy+3y^{2}}:\frac{(y-x)^{2}}{9y+3x}\)","\(\frac{9(x+y)}{y(x-y)}\)",86,"\(\frac{3x^{2}-3y^{2}}{xy+3y^{2}}:\frac{(y-x)^{2}}{9y+3x}=\frac{3(x-y)(x+y) \cdot 3(3y+x)}{y(x+3y) \cdot (y-x)^{2}}=\frac{9(x+y)}{y(x-y)}\)"
5921,"Упростите выражение: \(\frac{a^{3}+b^{3}}{a^{2}b-ab^{2}} \cdot \frac{a-b}{a+b}\)","\(\frac{a^{2}-ab+b^{2}}{ab}\)",86,"\(\frac{a^{3}+b^{3}}{a^{2}b-ab^{2}} \cdot \frac{a-b}{a+b}=\frac{(a+b)(a^{2}-ab+b^{2})(a-b)}{ab(a-b)(a+b)}=\frac{a^{2}-ab+b^{2}}{ab}\)"
5923,"Упростите выражение: \(\frac{2x^{2}+4x}{x^{3}-8}:\frac{x+2}{x-2}\)","\(\frac{2x}{x^{2}+2x+4}\)",86,"\(\frac{2x^{2}+4x}{x^{3}-8}:\frac{x+2}{x-2}=\frac{2x(x+2)(x-2)}{(x-2)(x^{2}+2x+4)(x+2)}=\frac{2x}{x^{2}+2x+4}\)"
